Question,Answer,URL,Other Info
What is the process of doing dual-major?,"If youwant to do dual-major you need to write an application to the Head of the Department.


The co-ordination officer will provide guidelines for the student which s/he will have to follow.",,
How can I resolve result block?,"Clear your previous dues


Contact with Registrar Office/Exam Office for resolving of blocked result.",,
How I can extend registration duration for more than six years?,Submit an application (describing the reason) to the Registrar through Head and Dean. A draft transcript need to be attached with the application.,,
How to take extra courses in a semester?,Students may apply to the Dean through Head of the departmentdescribing the name and credits of courses to be taken.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
What can I do for registration when the registration date is over?,Please follow the instructions given in the notice board and contact to the department office for further help.,,
I am a student of previous syllabus. Shall I do my registration with previous course code or I will register with new course code?,Student of previous syllabus can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester?  (after registration),"Write an application (describing specific reason) to the Dean through Head of the Department within 2 weeks of the last date of registration.


If Head and Dean approve, then you need to submit the copy of the approval to the Registrar Office for final approval.


One week later you need to check the student portal and/or contact the department office to confirm the semester drop.",,
What can I do to drop the semester?  (before registration),"In case of specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
How can I Change/ Add/Drop course after the registration?,"After the registration, you may be able to Change/Add/Drop any course within 7 days after the last date of the registration. Contact your batch coordinator.",,
How can I complete my course registration in the semester? (For existing students),"Collect your account clearance by paying the registration fees in the Accounts Section.


Submit it (keep a photocopy) to the batch coordinator in your department. He/she will complete your course registration as per the rule.


After the completion, you have to check the student portal to confirm the completion of course registration.",,
How do I complete course registration in the semester? (For new Students),"Collect your account clearance by paying the registration fees/Admission fees in the Accounts Section.


Submit the filled up StudentInsurance Form (given during the admission) and the account clearanceto the Coordination Officer of the Department Office.


When the registration is done by the department Office, you have to check the student portal to confirm your registration.




(
http://studentportal.diu.edu.bd/login
).",,
Is there any eligibility to attend the final Improvement Exam?,Students those who got “Grade B” or less may apply for improvement as per the deadline of department. Please see the departmental notice board or online notice board.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get your degree certificate.,,
Do I have to attend a minimum number of classes to attend the examinations?,Minimum of 60% of the classes you must attend.,,
I have two exams in same time slot. Can I attend the improvement of the missed exam without fee?,You can attend the improvement exam without fee in case of overlapping of exams.,,
How can I get the cumulative results (CGPA) of all the courses that I have completed?,"To collect draft transcript only before completion of all courses, you need to pay Tk.50/- to Accounts Section.


Go to the exam section and fill out the application form for draft transcript.


Collect your transcript when it is ready.",,
How can I get my semester results from website?,"Browse DIU website to find the option of ‘Virtual University’. Click &enter your ID in the Academic Result box.When you press enter, your results will be displayed.",,
How can I select a Supervisor for internship?,Contact your Head of the Department who will assign your supervisor for internship & thesis.,,
How can I sit in the improvement exam?,"Collect the Form of improvement exam from the department office and fill up the Form.


Pay required fees for improvement exam in the accounts section and get the clearance.


Then you submit the form to the department office. The department office will send the form to the relevant teacher.",,
What is the fees of improvement exam?,The student has to pay 40% of the course fees to attend the mid-term improvement exam and 60% of the course fees for the finalexam improvement.,,
How can I get my admit card for Mid Term and Final Exams?,Pay your instalment (fees) and collect your exam clearance/admit card showing the money receipt from the Accounts Section. You need to preserve the exam clearance/admit card for sitting the exam.,,
How I will get a concern letter/ MoI/ LoR/ Testimonial and etc. (For running students),You have to pay TK. 50 to Accounts section or pay through online. Write your father’s and mother’s name backside of the money receipt.Then submit an application to Head of the Department. Attach the money receipt along with the application within 2 working days.,,
"How I will get a Concern Letter, MoI, LoR, Testimonial, Migration Certificate and etc. (For alumni)","You have to pay TK. 50 through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login 


For any query, pls mail at: registraroffice2@daffodilvarsity.edu.bd",,
