Title,Price,what_you_learn,Slug,instructor
Understanding Advanced Encryption Standard,92,"Explain the fundamentals of cryptography and the pivotal role of AES in securing digital communications.Understand the AES encryption process, including its key components and operational steps.Master the key expansion process in AES and recognize the importance of Rcon and other mechanisms in enhancing security.Identify and apply advanced software and hardware techniques to optimize AES implementation.Design and execute robust key management strategies, ensuring the integrity and confidentiality of AES keys.",understanding-advanced-encryption-standard-dF8t,Md. Maruf Hassan
Hands on Capstone Project with C Programming.,100,To introduce students to the lifecycle of developing a project.To show the way of developing a project with C programming.To cultivate problem-solving abilities among the students.Instill confidence in students to tackle real-world challenges by applying the programming knowledge acquired through the course.,hands-on-capstone-project-with-c-programming-LWBe,Nusrat Tasnim
Food Preservation,79,"Understand the science behind food spoilage and the principles of food preservation.Explore various food preservation techniques like drying, pickling, fermentation, freezing, pasteurization, sterilization, and canning.Learn proper procedures and best practices for safe and effective food preservation at home and in commercial settings.Identify the appropriate preservation methods for different types of food (fruits, vegetables, meats, etc.).Gain the knowledge and skills to confidently preserve one’s food at home or develop preservation strategies for commercial applications",food-preservation-2TRG,Farzana Akter
Personal Networking: Present Yourself with Confidence,90,Build self-confidence in social and professional interactions.Craft impactful introductions that leave a lasting impression.Master non-verbal communication to convey confidence effectively.Enhance communication skills including active listening and storytelling.Manage social anxiety and perform confidently in various settings.Apply learning through practical exercises and receive feedback.Cultivate genuine connections based on trust and mutual understanding.,personal-networking-present-yourself-with-confidence-i9Bb,TJ Walker
Interview hacks: Staying ahead of the curve,82,"Equip learners with a comprehensive understanding of the interview process, including its phases and dynamics.Provide practical strategies for researching companies and job profiles effectively to demonstrate commitment and preparedness.Enhance interviewees' ability to articulate their skills and experiences confidently in response to common questions.Foster proficiency in verbal and non-verbal communication techniques to convey professionalism and interpersonal skills during interviews.Empower learners with the skills to read the interview room, adapt their communication style accordingly, and leave a lasting positive impression on interviewers.",interview-hacks-staying-ahead-of-the-curve-TH9a,Md. Mishkatul Kabir
Mastering Body Language for Dynamic Presentations,99,"Understand the importance of body language in effective communication and its impact on audience perception.Learn practical techniques to project confidence and poise through body language, including hand gestures, posture, and facial expressions.Identify and eliminate common nervous habits and gestures that detract from a confident speaking presence.Develop strategies to manage stage fright and performance anxiety, allowing for a calm and composed demeanor during presentations and public speaking engagements.Tailored for TV presentations, considering camera angles, framing, and studio environment.Apply newfound knowledge and skills in real-world speaking scenarios to consistently appear confident and poised when communicating with others.",mastering-body-language-for-dynamic-presentations-iNkV,TJ Walker
Introduction to Marketing,51,"Understand and define Marketing.Know about the two fold goals of marketing.Identify and differentiate between Need, want and Demand.Describe Marketing mix along with some other basic concepts of marketing.Explain the orientations of marketing.Evaluate the effect of the marketing environment on marketing strategies. Learn about some recent changes in the marketing landscape.",introduction-to-marketing-Z9Tr,Sharmin Jahan
Diet Chart at Home,100,"Understand the fundamentals of creating a balanced diet chart tailored to individual needs and goals.Learn how to diagnose and interpret the Body Mass Index (BMI) to assess weight status and health risks accurately.Gain proficiency in measuring and distributing calories effectively to support overall health and well-being.Develop the skills to design a personalized diet plan that promotes weight loss or maintenance while ensuring optimal nutrition.Acquire practical knowledge and strategies for adhering to a diet chart at home, including pre-planning, food selection, and motivation techniques.",diet-chart-at-home-f1jB,Ms. Lipi Rani Mondal
Short Video Editing With AI Tools,56,Grasp why short videos matter and how AI tools can make them better.Learn to write interesting short video scripts using AI tools that fit your audience.Create eye-catching visuals with AI's help for your videos.Use AI for better voice recording and sound quality in your videos.Easily install and navigate free video editing software to edit your videos.Make your videos more engaging with smooth transitions and cool sound effects.Ensure your videos look great on any platform with rendering and exporting tips.Design attention-grabbing thumbnails with AI tools to get more views.,short-video-editing-with-ai-tools-5vcx,S. M. Monowar Kayser
A Comprehensive Parenting Guide on Early Childhood Development,74,"Understand the principles of positive parenting and its impact on early childhood development.Identify the key stages of early childhood development and recognize the unique needs of children at each stage.Develop effective communication skills to foster a strong and supportive relationship with your child.Learn practical strategies for managing tantrums, teaching discipline, and promoting positive behavior.Explore creative play ideas to stimulate your child's cognitive, social, and emotional development.",a-comprehensive-parenting-guide-on-early-childhood-development-l9ui,Arpita Roy
